Ano,Mês,Hospital,Internações,Lotação Máxima,Ocupação
2009,10,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2009,11,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2009,12,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2010,1,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2010,2,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2010,3,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2010,4,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2010,5,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2010,6,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2010,7,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2010,8,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2010,9,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2010,10,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2010,11,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2010,12,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2011,1,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2011,2,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2011,3,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2011,4,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2011,5,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2011,6,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2011,7,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2011,8,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2011,9,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2011,10,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2011,11,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2011,12,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2012,1,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2012,2,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2012,3,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2012,4,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2012,5,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2012,6,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2012,7,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2012,8,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2012,9,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2012,10,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2012,11,2077655 ASSOC AACD V CLEMENTINO,2,56,3.571428571428571
2012,12,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2013,1,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2013,2,2077655 ASSOC AACD V CLEMENTINO,19,56,33.92857142857143
2013,3,2077655 ASSOC AACD V CLEMENTINO,14,56,25.0
2013,4,2077655 ASSOC AACD V CLEMENTINO,15,56,26.785714285714285
2013,5,2077655 ASSOC AACD V CLEMENTINO,2,56,3.571428571428571
2013,6,2077655 ASSOC AACD V CLEMENTINO,4,56,7.142857142857142
2013,7,2077655 ASSOC AACD V CLEMENTINO,5,56,8.928571428571429
2013,8,2077655 ASSOC AACD V CLEMENTINO,6,56,10.714285714285714
2013,9,2077655 ASSOC AACD V CLEMENTINO,7,56,12.5
2013,10,2077655 ASSOC AACD V CLEMENTINO,34,56,60.71428571428571
2013,11,2077655 ASSOC AACD V CLEMENTINO,2,56,3.571428571428571
2013,12,2077655 ASSOC AACD V CLEMENTINO,6,56,10.714285714285714
2014,1,2077655 ASSOC AACD V CLEMENTINO,2,56,3.571428571428571
2014,2,2077655 ASSOC AACD V CLEMENTINO,2,56,3.571428571428571
2014,3,2077655 ASSOC AACD V CLEMENTINO,9,56,16.071428571428573
2014,4,2077655 ASSOC AACD V CLEMENTINO,3,56,5.357142857142857
2014,5,2077655 ASSOC AACD V CLEMENTINO,2,56,3.571428571428571
2014,6,2077655 ASSOC AACD V CLEMENTINO,56,56,100.0
2014,7,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2014,8,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2014,9,2077655 ASSOC AACD V CLEMENTINO,4,56,7.142857142857142
2014,10,2077655 ASSOC AACD V CLEMENTINO,6,56,10.714285714285714
2014,11,2077655 ASSOC AACD V CLEMENTINO,18,56,32.142857142857146
2014,12,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
2015,1,2077655 ASSOC AACD V CLEMENTINO,6,56,10.714285714285714
2015,2,2077655 ASSOC AACD V CLEMENTINO,3,56,5.357142857142857
2015,3,2077655 ASSOC AACD V CLEMENTINO,19,56,33.92857142857143
2015,4,2077655 ASSOC AACD V CLEMENTINO,4,56,7.142857142857142
2015,5,2077655 ASSOC AACD V CLEMENTINO,0,56,0.0
